# t-SNE coordinates file
AY848686.1,-2.88948533845,17.8107876948
AY848687.1,-2.88560299283,17.8087815084
AY848684.1,-2.88863515776,17.8102958201
AY441783.1,-2.88859967759,17.8105682852
AY848689.1,-2.88405354993,17.8097712333
AY848685.1,-2.8885965578,17.8102719817
AY848688.1,-2.88850613749,17.8106480246
AF155037.1,1.33003714852,16.0887617568
AF083977.1,-8.93475016037,4.3928455505
AF503408.1,3.31482667985,8.04116367363
AF234172.1,3.11349491113,7.39732686832
AF234173.1,3.05387602246,6.3268492941
AF063097.1,-7.99306001288,3.89807977861
X51522.1,-9.0899337735,1.84165440626
FJ230960.1,13.5740032873,3.08186526757
KJ572844.2,-2.71981600615,13.5829270389
JQ177061.1,-2.72113413652,13.5821743181
U24159.1,-0.116191481099,16.7256862924
FJ839693.1,10.240427507,8.25579094042
AY320035.2,-22.53863208,16.6988344941
DQ500118.1,-13.2347820578,8.66911813336
JQ067085.2,-19.4382625393,8.68994079245
AY394005.1,-19.4482590939,8.69425445837
EU078592.1,-9.9376638705,2.2937284418
J02459.1,-9.53246483182,2.7301841149
JX871397.1,-2.05552690359,3.07998764098
HM072038.1,7.84575863833,15.5783385185
AB016282.1,7.81225461464,15.5776548533
AJ006589.3,-24.241648864,8.04604255391
X97918.2,8.47966129259,15.9046421156
AY692264.1,16.82247957,-6.03926168835
AY587007.1,16.8291577241,-6.0309352134
AY543070.1,16.8316136962,-6.03042040721
JX182370.1,-24.577103572,-14.2636216456
JX262376.1,-24.5780499882,-14.2603929143
AF069308.1,-0.802895981843,4.64087559968
KJ617393.1,10.6778843352,17.5415173175
LK392619.1,10.6713793802,17.5465196486
Z47794.1,10.6780647672,17.5413177396
EF056009.1,7.8043898329,-10.6275257329
AB362338.2,0.222517038864,9.11729730851
AF217253.1,0.219240973086,9.15927095205
AF527608.1,0.219238192955,9.10286616878
BK000583.1,0.216853781715,9.07912665408
AB426868.1,0.241110102039,9.23158965
EU771092.1,22.3478611312,-4.77249675711
